study_accession	sample_accession	experiment_accession	run_accession	tax_id	read_count	base_count	station	sampling_date	latitude	longitude	depth	salinity	longhurst	sample
PRJEB9742	SAMEA4396515	ERX2775053	ERR2762100	408172	234150715	46383015921	TARA_155	2013-05-25	54.525	-16.689	40	35.33502	10.79018	NA
PRJEB9742	SAMEA4396515	ERX2775054	ERR2762101	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396489	ERX2775055	ERR2762102	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396489	ERX2775056	ERR2762103	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396441	ERX2775057	ERR2762104	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396441	ERX2775058	ERR2762105	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396988	ERX2775059	ERR2762106	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396988	ERX2775060	ERR2762107	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397023	ERX2775061	ERR2762108	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397023	ERX2775062	ERR2762109	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396941	ERX2775063	ERR2762110	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4396941	ERX2775064	ERR2762111	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397091	ERX2775065	ERR2762112	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397091	ERX2775066	ERR2762113	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397051	ERX2775067	ERR2762114	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397051	ERX2775068	ERR2762115	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397174	ERX2775069	ERR2762116	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397174	ERX2775070	ERR2762117	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397215	ERX2775071	ERR2762118	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397215	ERX2775072	ERR2762119	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397118	ERX2775073	ERR2762120	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397118	ERX2775074	ERR2762121	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397295	ERX2775075	ERR2762122	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRJEB9742	SAMEA4397295	ERX2775076	ERR2762123	408172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
