run_accession	description
ERR2762104	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762105	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762110	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762111	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762114	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762115	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762120	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762121	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762124	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762125	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762128	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762129	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762132	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762133	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762134	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762135	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762140	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762141	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762146	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762147	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762148	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762149	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762150	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762151	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762152	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762155	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762156	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762157	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762158	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762164	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762165	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
ERR2762166	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762169	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
ERR2762170	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762173	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762174	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
ERR2762175	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762176	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762177	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
ERR2762180	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762181	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762182	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
ERR2762186	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762187	Illumina HiSeq 2000 paired end sequencing; marine metagenome_Illumina_W
ERR2762188	Illumina HiSeq 2500 paired end sequencing; marine metagenome_Illumina_W
