name	bin_id	collection_id	profile_db_path	contigs_db_path
Chromatocurvushalotolerans	Chromatocurvushalotolerans	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Congregibacterlitoralis	Congregibacterlitoralis	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halieaalexandrii	Halieaalexandrii	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Haliearubra	Haliearubra	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halieasalexigens	Halieasalexigens	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halioglobusjaponicus	Halioglobusjaponicus	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halioglobuslutimaris	Halioglobuslutimaris	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halioglobusmaricola	Halioglobusmaricola	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halioglobuspacificus	Halioglobuspacificus	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Halioglobussediminis	Halioglobussediminis	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Kineobactrumsalinum	Kineobactrumsalinum	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Kineobactrumsediminis	Kineobactrumsediminis	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Luminiphilussyltensis	Luminiphilussyltensis	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Parahalieaaestuarii	Parahalieaaestuarii	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
Parahalieamediterranea	Parahalieamediterranea	Genomes	HALIEA-MERGED/PROFILE.db	HALIEA-CONTIGS.db
